value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer
16607268526513.0,GEE_financial_statements_2023_consolidated,8,3,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),16.607.268.526.513,PanelCell,s1,4.77851969818046
14581337221301.0,GEE_financial_statements_2023_consolidated,8,4,4,Giá vốn hàng bán và dịch vụ cung cấp,14.581.337.221.301,PanelCell,s2,
2025931305212.0,GEE_financial_statements_2023_consolidated,8,5,4,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),2.025.931.305.212,PanelCell,s3,
949715700837.0,GEE_financial_statements_2023_consolidated,8,12,4,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),949.715.700.837,PanelCell,s4,
29997835848957.0,GEX_financial_statements_2023_consolidated,9,3,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),29.997.835.848.957,PanelCell,s5,
24489090822910.0,GEX_financial_statements_2023_consolidated,9,4,4,Giá vốn hàng bán và dịch vụ cung cấp,24.489.090.822.910,PanelCell,s6,
5508745026047.0,GEX_financial_statements_2023_consolidated,9,5,4,Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5.508.745.026.047,PanelCell,s7,
1415139963972.0,GEX_financial_statements_2023_consolidated,9,12,4,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),1.415.139.963.972,PanelCell,s8,
2685542239251.0,HHV_financial_statements_2023_consolidated,13,4,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ,2.685.542.239.251,PanelCell,s9,
1605123307081.0,HHV_financial_statements_2023_consolidated,13,5,3,Giá vốn hàng bán và cung cấp dịch vụ,1.605.123.307.081,PanelCell,s10,
1080418932170.0,HHV_financial_statements_2023_consolidated,13,6,3,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1.080.418.932.170,PanelCell,s11,
427187880700.0,HHV_financial_statements_2023_consolidated,13,12,3,Lợi nhuận thuần từ hoạt động kinh doanh,427.187.880.700,PanelCell,s12,
2200115744921.0,SAM_financial_statements_2023_consolidated,8,4,3,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,2.200.115.744.921,PanelCell,s13,
2042904427515.0,SAM_financial_statements_2023_consolidated,8,5,3,4. Giá vốn hàng bán,2.042.904.427.515,PanelCell,s14,
157211317406.0,SAM_financial_statements_2023_consolidated,8,6,3,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,157.211.317.406,PanelCell,s15,
62524444112.0,SAM_financial_statements_2023_consolidated,8,13,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,62.524.444.112,PanelCell,s16,
5583601238306.0,SJG_financial_statements_2023_consolidated,9,3,3,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,5.583.601.238.306,PanelCell,s17,
4408292433992.0,SJG_financial_statements_2023_consolidated,9,4,3,4. Giá vốn hàng bán,4.408.292.433.992,PanelCell,s18,
1175308804314.0,SJG_financial_statements_2023_consolidated,9,5,3,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1.175.308.804.314,PanelCell,s19,
711694203736.0,SJG_financial_statements_2023_consolidated,9,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,711.694.203.736,PanelCell,s20,
13193818428046.0,VGC_financial_statements_2023_consolidated,9,3,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),13.193.818.428.046,PanelCell,s21,
9674692360146.0,VGC_financial_statements_2023_consolidated,9,4,4,Giá vốn hàng bán và dịch vụ cung cấp,9.674.692.360.146,PanelCell,s22,
3519126067900.0,VGC_financial_statements_2023_consolidated,9,5,4,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),3.519.126.067.900,PanelCell,s23,
1593983429703.0,VGC_financial_statements_2023_consolidated,9,12,4,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),1.593.983.429.703,PanelCell,s24,
