value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer
288054267735.0,HPX_financial_statements_2023_consolidated,7,5,4,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),288.054.267.735,PanelCell,s1,6.722867188518493
1680274226042.0,HPX_financial_statements_2023_consolidated,7,3,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),1.680.274.226.042,PanelCell,s2,
8296949220116.0,HPX_financial_statements_2023_consolidated,5,43,3,TỔNG CỘNG TÀI SẢN (270 = 100+200),8.296.949.220.116,PanelCell,s3,
134937784139.0,HPX_financial_statements_2023_consolidated,7,19,4,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),134.937.784.139,PanelCell,s4,
3587767371979.0,HPX_financial_statements_2023_consolidated,6,17,4,VỐN CHỦ SỞ HỮU(400 = 410),3.587.767.371.979,PanelCell,s5,
518552784439.0,HPX_financial_statements_2024_consolidated,7,5,4,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),518.552.784.439,PanelCell,s6,
1615671932877.0,HPX_financial_statements_2024_consolidated,7,3,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),1.615.671.932.877,PanelCell,s7,
7701601506749.0,HPX_financial_statements_2024_consolidated,5,42,3,TỔNG CỘNG TÀI SẢN (270 = 100+200),7.701.601.506.749,PanelCell,s8,
61465006731.0,HPX_financial_statements_2024_consolidated,7,19,4,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),61.465.006.731,PanelCell,s9,
3633973647389.0,HPX_financial_statements_2024_consolidated,6,16,4,VỐN CHỦ SỞ HỮU (400 = 410),3.633.973.647.389,PanelCell,s10,
3695394291444.0,KBC_financial_statements_2023_consolidated,10,5,3,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,3.695.394.291.444,PanelCell,s11,
5618475347527.0,KBC_financial_statements_2023_consolidated,10,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,5.618.475.347.527,PanelCell,s12,
33434220275901.0,KBC_financial_statements_2023_consolidated,7,24,3,TỔNG CỘNG TÀI SẢN,33.434.220.275.901,PanelCell,s13,
2245003412330.0,KBC_financial_statements_2023_consolidated,10,19,3,18. Lợi nhuận sau thuế TNDN,2.245.003.412.330,PanelCell,s14,
20220872704416.0,KBC_financial_statements_2023_consolidated,9,1,3,D. VỐN CHỦ SỞ HỮU,20.220.872.704.416,PanelCell,s15,
1283466133926.0,KBC_financial_statements_2024_consolidated,5,5,3,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1.283.466.133.926,PanelCell,s16,
2775773466955.0,KBC_financial_statements_2024_consolidated,5,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2.775.773.466.955,PanelCell,s17,
