value,doc_id,table_id,row_idx,col_idx,label,raw,ticker,year,raw_column,source_id,computed_answer
-968840658331.0,ASM_financial_statements_2024_consolidated,15,20,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(968.840.658.331),ASM,2024,cfo,s1,0.7286779445660121
1125820977761.0,DBC_financial_statements_2024_consolidated,9,16,3,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,1.125.820.977.761,DBC,2024,cfo,s2,
9525462000000.0,MSN_financial_statements_2024_consolidated,8,19,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,9.525.462,MSN,2024,cfo,s3,
253214642740.0,OGC_financial_statements_2024_consolidated,8,17,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,253.214.642.740,OGC,2024,cfo,s4,
250986638049.0,ASM_financial_statements_2024_consolidated,14,19,3,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,250.986.638.049,ASM,2024,npat,s5,
769083752455.0,DBC_financial_statements_2024_consolidated,8,19,3,18. Lợi nhuận sau thuế TNDN,769.083.752.455,DBC,2024,npat,s6,
4272384000000.0,MSN_financial_statements_2024_consolidated,6,19,3,Lợi nhuận thuần sau thuế,4.272.384,MSN,2024,npat,s7,
215147294010.0,OGC_financial_statements_2024_consolidated,7,19,4,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),215.147.294.010,OGC,2024,npat,s8,
13566530226970.0,ASM_financial_statements_2024_consolidated,10,1,3,A. TÀI SẢN NGẮN HẠN,13.566.530.226.970,ASM,2024,current_assets,s9,
4336236325169.0,ASM_financial_statements_2024_consolidated,10,19,3,IV. Hàng tồn kho,4.336.236.325.169,ASM,2024,inventory,s10,
7830527770434.0,ASM_financial_statements_2024_consolidated,12,2,3,I. Nợ ngắn hạn,7.830.527.770.434,ASM,2024,current_liabilities,s11,
7838139952903.0,DBC_financial_statements_2024_consolidated,6,1,3,A. TÀI SẢN NGĂN HẠN,7.838.139.952.903,DBC,2024,current_assets,s12,
5516781758000.0,DBC_financial_statements_2024_consolidated,6,11,3,IV. Hàng tồn kho,5.516.781.758.000,DBC,2024,inventory,s13,
6420694102809.0,DBC_financial_statements_2024_consolidated,7,2,3,I. Nợ ngắn hạn,6.420.694.102.809,DBC,2024,current_liabilities,s14,
53569663000000.0,MSN_financial_statements_2024_consolidated,2,1,3,TÀI SẢN NGĂN HẠN,53.569.663,MSN,2024,current_assets,s15,
10787396000000.0,MSN_financial_statements_2024_consolidated,2,15,3,Hàng tồn kho,10.787.396,MSN,2024,inventory,s16,
58712175000000.0,MSN_financial_statements_2024_consolidated,4,2,3,Nợ ngắn hạn,58.712.175,MSN,2024,current_liabilities,s17,
676236857416.0,OGC_financial_statements_2024_consolidated,5,1,4,TÀI SẢN NGẮN HẠN(100=100+120+130+140+150),676.236.857.416,OGC,2024,current_assets,s18,
233301649588.0,OGC_financial_statements_2024_consolidated,5,16,4,Hàng tồn kho,233.301.649.588,OGC,2024,inventory,s19,
723732909020.0,OGC_financial_statements_2024_consolidated,6,2,4,Nợ ngắn hạn,723.732.909.020,OGC,2024,current_liabilities,s20,
