ticker,year,value,doc_id,table_id,row_idx,col_idx,raw_value,label,source_scale,source_id,computed_answer
SAB,2018,5813809353665.0,SAB_financial_statements_2018_consolidated,79,1,1,5.813.809.353.665,Chi phí nguyên vật liệu trong chi phí sản xuất,1.0,s1,5.450696661517653
SAB,2018,1764524052187.0,SAB_financial_statements_2018_consolidated,79,2,1,1.764.524.052.187,Chi phí nhân công và nhân viên,1.0,s2,
SAB,2018,634592696360.0,SAB_financial_statements_2018_consolidated,79,3,1,634.592.696.360,Chi phí khấu hao và phân bổ,1.0,s3,
SAB,2018,3299307255808.0,SAB_financial_statements_2018_consolidated,79,4,1,3.299.307.255.808,Chi phí dịch vụ mua ngoài,1.0,s4,
SAB,2018,646656970561.0,SAB_financial_statements_2018_consolidated,79,5,1,646.656.970.561,Chi phí khác,1.0,s5,
SAB,2020,5367647284900.0,SAB_financial_statements_2020_consolidated,77,1,1,5.367.647.284.900,Chi phí nguyên vật liệu trong chi phí sản xuất,1.0,s6,
SAB,2020,1507607536510.0,SAB_financial_statements_2020_consolidated,77,2,1,1.507.607.536.510,Chi phí nhân công và nhân viên,1.0,s7,
SAB,2020,593451595931.0,SAB_financial_statements_2020_consolidated,77,3,1,593.451.595.931,Chi phí khấu hao và phân bổ,1.0,s8,
SAB,2020,2876725251113.0,SAB_financial_statements_2020_consolidated,77,4,1,2.876.725.251.113,Chi phí dịch vụ mua ngoài,1.0,s9,
SAB,2020,542196698775.0,SAB_financial_statements_2020_consolidated,77,5,1,542.196.698.775,Chi phí khác,1.0,s10,
SAB,2024,7849174906031.0,SAB_financial_statements_2024_consolidated,72,1,1,7.849.174.906.031,Chi phí nguyên vật liệu trong chi phí sản xuất,1.0,s11,
SAB,2024,3878645958871.0,SAB_financial_statements_2024_consolidated,72,2,1,3.878.645.958.871,Chi phí dịch vụ mua ngoài,1.0,s12,
SAB,2024,1717796120922.0,SAB_financial_statements_2024_consolidated,72,3,1,1.717.796.120.922,Chi phí nhân công và nhân viên,1.0,s13,
SAB,2024,548883626755.0,SAB_financial_statements_2024_consolidated,72,4,1,548.883.626.755,Chi phí khấu hao và phân bổ,1.0,s14,
SAB,2024,675003471040.0,SAB_financial_statements_2024_consolidated,72,5,1,675.003.471.040,Chi phí khác,1.0,s15,
SAB,2025,9392816124244.0,SAB_financial_statements_2025_consolidated,75,1,1,9.392.816.124.244,Chi phí nguyên vật liệu trong chi phí sản xuất,1.0,s16,
SAB,2025,3826738803498.0,SAB_financial_statements_2025_consolidated,75,2,1,3.826.738.803.498,Chi phí dịch vụ mua ngoài,1.0,s17,
SAB,2025,1952113865896.0,SAB_financial_statements_2025_consolidated,75,3,1,1.952.113.865.896,Chi phí nhân công và nhân viên,1.0,s18,
SAB,2025,730272467434.0,SAB_financial_statements_2025_consolidated,75,4,1,730.272.467.434,Chi phí khấu hao và phân bổ,1.0,s19,
SAB,2025,783554386906.0,SAB_financial_statements_2025_consolidated,75,5,1,783.554.386.906,Chi phí khác,1.0,s20,
