value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer
682769422000000.0,VIC_financial_statements_2024_consolidated,6,1,3,C. NỘ PHẢI TRẢ,682.769.422,PanelCell,s1,45.06159419496238
836603903000000.0,VIC_financial_statements_2024_consolidated,5,31,3,TỔNG CỘNG TÀI SẢN,836.603.903,PanelCell,s2,
5276058000000.0,VIC_financial_statements_2024_consolidated,8,19,3,18. Lợi nhuận sau thuế TNDN,5.276.058,PanelCell,s3,
190486956299042.0,NVL_financial_statements_2024_consolidated,10,1,3,C. NỘ PHẢI TRẢ(300 = 310 + 330),190.486.956.299.042,PanelCell,s4,
237777980657656.0,NVL_financial_statements_2024_consolidated,9,28,3,TỔNG CỘNG TÀI SẢN (270 = 100 + 200),237.777.980.657.656,PanelCell,s5,
-4394642203703.0,NVL_financial_statements_2024_consolidated,12,19,3,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 -52),(4.394.642.203.703),PanelCell,s6,
13303514000000.0,VRE_financial_statements_2024_consolidated,4,1,4,Nợ PHẢI TRẢ,13.303.514,PanelCell,s7,
55226155000000.0,VRE_financial_statements_2024_consolidated,3,21,4,TỔNG CỘNG TÀI SẢN (270=100+200),55.226.155,PanelCell,s8,
4095780000000.0,VRE_financial_statements_2024_consolidated,6,17,4,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),4.095.780,PanelCell,s9,
24085018776979.0,KBC_financial_statements_2024_consolidated,3,1,3,C. NỘ PHẢI TRẢ,24.085.018.776.979,PanelCell,s10,
44729924910530.0,KBC_financial_statements_2024_consolidated,2,23,3,TỔNG CỘNG TÀI SẢN,44.729.924.910.530,PanelCell,s11,
423033429135.0,KBC_financial_statements_2024_consolidated,5,19,3,18. Lợi nhuận sau thuế TNDN,423.033.429.135,PanelCell,s12,
6381694976924.0,SCR_financial_statements_2024_consolidated,6,1,3,C. NỘ PHẢI TRẢ,6.381.694.976.924,PanelCell,s13,
11846890655310.0,SCR_financial_statements_2024_consolidated,5,29,3,TỔNG CỘNG TÀI SẢN,11.846.890.655.310,PanelCell,s14,
4247882268.0,SCR_financial_statements_2024_consolidated,8,19,3,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 -52),4.247.882.268,PanelCell,s15,
6064379225600.0,VPI_financial_statements_2024_consolidated,8,1,3,C. NỘ PHẢI TRÀ,6.064.379.225.600,PanelCell,s16,
11138519411664.0,VPI_financial_statements_2024_consolidated,7,23,3,TỔNG CỘNG TÀI SẢN,11.138.519.411.664,PanelCell,s17,
303899468323.0,VPI_financial_statements_2024_consolidated,10,19,3,18. Lợi nhuận sau thuế TNDN,303.899.468.323,PanelCell,s18,
4067627859360.0,HPX_financial_statements_2024_consolidated,6,1,4,NỘ PHẢI TRẢ (300=310+330),4.067.627.859.360,PanelCell,s19,
7701601506749.0,HPX_financial_statements_2024_consolidated,5,42,3,TỔNG CỘNG TÀI SẢN (270 = 100+200),7.701.601.506.749,PanelCell,s20,
61465006731.0,HPX_financial_statements_2024_consolidated,7,19,4,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),61.465.006.731,PanelCell,s21,
