value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer
182891677551.0,CRE_financial_statements_2023_consolidated,7,6,3,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,182.891.677.551,PanelCell,s1,2.0
4907312660.0,CRE_financial_statements_2023_consolidated,7,17,3,15. Tổng lợi nhuận kế toán trước thuế,4.907.312.660,PanelCell,s2,
89178157416.0,CRE_financial_statements_2023_consolidated,7,9,3,Trong đó: Chi phí lãi vay,89.178.157.416,PanelCell,s3,
243569472542.0,DIG_financial_statements_2023_consolidated,7,5,3,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,243.569.472.542,PanelCell,s4,
165886101158.0,DIG_financial_statements_2023_consolidated,7,16,3,15. Tổng lợi nhuận kế toán trước thuế,165.886.101.158,PanelCell,s5,
97694058059.0,DIG_financial_statements_2023_consolidated,7,8,3,Trong đó: Chi phí lãi vay,97.694.058.059,PanelCell,s6,
288054267735.0,HPX_financial_statements_2023_consolidated,7,5,4,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),288.054.267.735,PanelCell,s7,
189027726773.0,HPX_financial_statements_2023_consolidated,7,16,4,Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),189.027.726.773,PanelCell,s8,
155475525477.0,HPX_financial_statements_2023_consolidated,7,8,4,Trong đó: Chi phí lãi vay,155.475.525.477,PanelCell,s9,
27724925420.0,KHG_financial_statements_2023_consolidated,7,5,3,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,27.724.925.420,PanelCell,s10,
34208220731.0,KHG_financial_statements_2023_consolidated,7,15,3,14. Tổng lợi nhuận kế toán trước thuế,34.208.220.731,PanelCell,s11,
116785060087.0,KHG_financial_statements_2023_consolidated,7,8,3,- Trong đó: Chi phí lãi vay,116.785.060.087,PanelCell,s12,
2052150525202.0,SNZ_financial_statements_2023_consolidated,9,5,3,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,2.052.150.525.202,PanelCell,s13,
1657702220122.0,SNZ_financial_statements_2023_consolidated,9,16,3,15. Tổng lợi nhuận kế toán trước thuế,1.657.702.220.122,PanelCell,s14,
117308293891.0,SNZ_financial_statements_2023_consolidated,9,8,3,"Trong đó, chi phí lãi vay",117.308.293.891,PanelCell,s15,
1802119504993.0,SSH_financial_statements_2023_consolidated,6,5,4,Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),1.802.119.504.993,PanelCell,s16,
1626889342475.0,SSH_financial_statements_2023_consolidated,6,16,4,Tổng lợi nhuận kế toán trước thuế (50=30+40),1.626.889.342.475,PanelCell,s17,
533011393378.0,SSH_financial_statements_2023_consolidated,6,8,4,- Trong đó: Chi phí lãi vay và lãi trái phiếu,533.011.393.378,PanelCell,s18,
5345885000000.0,VRE_financial_statements_2023_consolidated,7,5,3,Lợi nhuận gộp (20 = 10 - 11),5.345.885,PanelCell,s19,
5526087000000.0,VRE_financial_statements_2023_consolidated,7,15,3,Lợi nhuận kế toán trước thuế (50 = 30 + 40),5.526.087,PanelCell,s20,
330426000000.0,VRE_financial_statements_2023_consolidated,7,8,3,Trong đó: Chi phí lãi vay và chi phí phát hành,330.426,PanelCell,s21,
