candidate_id,ticker,report_year,scope,doc_id,table_id,row_idx,col_idx,row_label,column_header,table_context,raw_value,raw_number,source_scale,vnd_value,retrieval_phrase,retrieval_score,source_type,source_id,computed_answer,value,label,raw
c0001,ASM,2023.0,consolidated,ASM_financial_statements_2023_consolidated,11,10,3,II. Tài sản cố định,Số cuối năm | 9.217.322.907.487 | 35.363.850.763,"===== CÔNG TY CÓ PHẦN TẬP ĐOÀN SAO MAI Báo cáo tài chính hợp nhất 326 Hùng Vương, P. Mỹ Long, Tp. Long Xuyên, Tinh. An Giang. Năm tài chính 2023 kết thúc tại ngày 31/12/2023 BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31/12/2023 Đơn vị tính: VND",6.560.647.417.672,6560647417672.0,1.0,6560647417672.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s1,1.8597873587786178,,,
c0002,ASM,2024.0,consolidated,ASM_financial_statements_2024_consolidated,11,10,3,II. Tài sản cố định,Số cuối năm | 9.289.525.402.197 | 32.877.315.013," ===== CÔNG TY CỔ PHẦN TẬP ĐOÀN SAO MAI 326 Hùng Vương, P. Mỹ Long, Tp. Long Xuyên, Tỉnh An Giang. Báo cáo tài chính hợp nhất Năm tài chính 2024 kết thúc tại ngày 31/12/2024 BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31/12/2024 Đơn vị tính: VND",6.358.160.566.795,6358160566795.0,1.0,6358160566795.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s2,,,,
c0003,DBC,2023.0,consolidated,DBC_financial_statements_2023_consolidated,3,22,3,II. Tài sản cố định,Số cuối năm | 7.101.240.626.454 | 592.137.027.608,===== PAGE 10 ===== Công ty Cổ phần Tập đoàn Dabaco Việt Nam B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT ngày 31 tháng 12 năm 2023 Đơn vị tính: VND,5.148.429.144.344,5148429144344.0,1.0,5148429144344.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s3,,,,
c0004,DBC,2024.0,consolidated,DBC_financial_statements_2024_consolidated,6,22,3,II. Tài sản cố định,Số cuối năm | 7.838.139.952.903 | 439.331.953.874,===== PAGE 11 ===== Công ty Cổ phần Tập đoàn Dabaco Việt Nam B01-DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT ngày 31 tháng 12 năm 2024 Đơn vị tính: VND,4.789.772.451.065,4789772451065.0,1.0,4789772451065.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s4,,,,
c0005,MSN,2023.0,consolidated,MSN_financial_statements_2023_consolidated,3,5,3,Tài sản cố định,31/12/2023 Triệu VND | 103.619.995 | 11.210.955,===== PAGE 8 ===== CÔNG TY CÓ PHẦN TẬP ĐOÀN MASAN VÀ CÁC CÔNG TY CON Mẫu số B 01 – DN/HN BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),42.885.823,42885823.0,1000000.0,42885823000000.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s5,,,,
c0006,MSN,2024.0,consolidated,MSN_financial_statements_2024_consolidated,3,5,3,Tài sản cố định,31/12/2024Triệu VND | 94.015.055 | 8.524.390,===== PAGE 8 ===== CÔNG TY CÓ PHẦN TẬP ĐOÀN MASAN VÀ CÁC CÔNG TY CON Mẫu số B 01 – DN/HN BÀNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),37.049.770,37049770.0,1000000.0,37049770000000.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s6,,,,
c0007,OGC,2023.0,consolidated,OGC_financial_statements_2023_consolidated,5,6,4,II. | Tài sản cố định,Số cuối năm | 4.153.344.786.159 | 648.752.261.270,"===== PAGE 11 ===== CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẠI DƯƠNG Số 04 Láng Hạ, phường Thành Công, quận Ba Đình, thành phố Hà Nội Băng cân đối kế toán hợp nhất (tiếp theo) Đơn vị tính: VND",512.672.371.098,512672371098.0,1.0,512672371098.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s7,,,,
c0008,OGC,2024.0,consolidated,OGC_financial_statements_2024_consolidated,5,27,4,II. | Tài sản cố định,31/12/2024VND | 676.236.857.416 | 190.735.461.868," Số 643 Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam Mẫu số B 01 - DN/HN Ban hành theo Thông tư số 202/2014/TT-BTC Ngày 22/12/2014 của Bộ Tài chính BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT Tại ngày 31 tháng 12 năm 2024",482.842.470.131,482842470131.0,1.0,482842470131.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s8,,,,
c0009,VNM,2023.0,consolidated,VNM_financial_statements_2023_consolidated,7,4,3,Tài sản cố định,31/12/2023 VND | 16.737.491.482.983 | 16.131.990.975,E 8 ===== Công ty Cổ phần Sữa Việt Nam và các công ty con Báo cáo tình hình tài chính hợp nhất tại ngày 31 tháng 12 năm 2023 (tiếp theo) Mâu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014 TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),12.689.652.377.511,12689652377511.0,1.0,12689652377511.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s9,,,,
c0010,VNM,2024.0,consolidated,VNM_financial_statements_2024_consolidated,7,5,3,Tài sản cố định,31/12/2024 VND | 17.495.411.471.963 | 17.592.137.763,E 8 ===== Công ty Cổ phần Sữa Việt Nam và các công ty con Báo cáo tình hình tài chính hợp nhất tại ngày 31 tháng 12 năm 2024 (tiếp theo) Mẫu B 01 - DN/HN (Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),12.550.564.799.221,12550564799221.0,1.0,12550564799221.0,tài sản cố định thuần mã 220,100.0,NumericCandidate,s10,,,,
