value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer
2056061000000.0,VIC_financial_statements_2023_consolidated,10,19,3,18. Lợi nhuận sau thuế TNDN,2.056.061,PanelCell,s1,-27.220178559495494
-20011668000000.0,VIC_financial_statements_2023_consolidated,12,16,3,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động kinh doanh,(20.011.668),PanelCell,s2,
161427568000000.0,VIC_financial_statements_2023_consolidated,10,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,161.427.568,PanelCell,s3,
5276058000000.0,VIC_financial_statements_2024_consolidated,8,19,3,18. Lợi nhuận sau thuế TNDN,5.276.058,PanelCell,s4,
20846497000000.0,VIC_financial_statements_2024_consolidated,10,16,3,Lưu chuyển tiền thuần tử/(sử dụng vào) hoạt động kinh doanh,20.846.497,PanelCell,s5,
189068040000000.0,VIC_financial_statements_2024_consolidated,8,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,189.068.040,PanelCell,s6,
485864524898.0,NVL_financial_statements_2023_consolidated,9,20,3,Lợi nhuận sau thuế TNDN,485.864.524.898,PanelCell,s7,
-7626489663504.0,NVL_financial_statements_2023_consolidated,10,16,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(7.626.489.663.504),PanelCell,s8,
4756902213820.0,NVL_financial_statements_2023_consolidated,9,4,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ,4.756.902.213.820,PanelCell,s9,
-4394642203703.0,NVL_financial_statements_2024_consolidated,12,19,3,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 -52),(4.394.642.203.703),PanelCell,s10,
-5971178115653.0,NVL_financial_statements_2024_consolidated,13,16,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(5.971.178.115.653),PanelCell,s11,
9073375473961.0,NVL_financial_statements_2024_consolidated,12,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),9.073.375.473.961,PanelCell,s12,
4408808000000.0,VRE_financial_statements_2023_consolidated,7,18,3,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(mang sang trang tiếp theo),4.408.808,PanelCell,s13,
3892009000000.0,VRE_financial_statements_2023_consolidated,9,15,3,Lưu chuyển tiền thuần từ hoạt độngkinh doanh,3.892.009,PanelCell,s14,
9791335000000.0,VRE_financial_statements_2023_consolidated,7,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),9.791.335,PanelCell,s15,
4095780000000.0,VRE_financial_statements_2024_consolidated,6,17,4,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),4.095.780,PanelCell,s16,
