ticker,year,value,doc_id,table_id,row_idx,col_idx,raw_value,label,source_scale,source_id,computed_answer
IJC,2016,737084353.0,IJC_financial_statements_2016_separate,60,4,1,737.084.353,Chi phí khấu hao tài sản cố định,1.0,s1,5.26727029723265
IJC,2016,37756555134.0,IJC_financial_statements_2016_separate,60,8,1,37.756.555.134,Cộng,1.0,s2,
IJC,2017,680649292.0,IJC_financial_statements_2017_separate,59,4,1,680.649.292,Chi phí khấu hao tài sản cố định,1.0,s3,
IJC,2017,36757177851.0,IJC_financial_statements_2017_separate,59,8,1,36.757.177.851,Cộng,1.0,s4,
IJC,2018,876710946.0,IJC_financial_statements_2018_separate,64,4,1,876.710.946,Chi phí khấu hao tài sản cố định,1.0,s5,
IJC,2018,25250284273.0,IJC_financial_statements_2018_separate,64,8,1,25.250.284.273,Cộng,1.0,s6,
IJC,2023,1918914610.0,IJC_financial_statements_2023_separate,56,4,1,1.918.914.610,Chi phí khấu hao tài sản cố định,1.0,s7,
IJC,2023,36430912061.0,IJC_financial_statements_2023_separate,56,7,1,36.430.912.061,Cộng,1.0,s8,
IJC,2024,1751655515.0,IJC_financial_statements_2024_separate,59,4,1,1.751.655.515,Chi phí khấu hao tài sản cố định,1.0,s9,
IJC,2024,41114484845.0,IJC_financial_statements_2024_separate,59,8,1,41.114.484.845,Cộng,1.0,s10,
