value,doc_id,table_id,row_idx,col_idx,label,raw,ticker,year,raw_column,source_id,computed_answer
22828907651783.0,GEX_financial_statements_2024_consolidated,5,1,4,TÀI SẢN NGẮN HẠN,22.828.907.651.783,GEX,2024,current_assets,s1,3.7
8684599751876.0,GEX_financial_statements_2024_consolidated,5,15,4,Hàng tồn kho,8.684.599.751.876,GEX,2024,inventory,s2,
16997351937504.0,GEX_financial_statements_2024_consolidated,7,2,4,Nợ ngắn hạn,16.997.351.937.504,GEX,2024,current_liabilities,s3,
13734790530380.0,HBC_financial_statements_2024_consolidated,6,2,3,A - TÀI SẢN NGĂN HẠN,13.734.790.530.380,HBC,2024,current_assets,s4,
2357127255268.0,HBC_financial_statements_2024_consolidated,6,19,3,III. Hàng tồn kho,2.357.127.255.268,HBC,2024,inventory,s5,
12410681510139.0,HBC_financial_statements_2024_consolidated,8,3,3,I. Nợ ngắn hạn,12.410.681.510.139,HBC,2024,current_liabilities,s6,
8085980091224.0,PC1_financial_statements_2024_consolidated,6,2,3,Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),8.085.980.091.224,PC1,2024,current_assets,s7,
1587602430478.0,PC1_financial_statements_2024_consolidated,6,15,3,Hàng tồn kho,1.587.602.430.478,PC1,2024,inventory,s8,
5078147101360.0,PC1_financial_statements_2024_consolidated,7,19,3,Nợ ngắn hạn,5.078.147.101.360,PC1,2024,current_liabilities,s9,
2203990476359.0,SAM_financial_statements_2024_consolidated,5,2,3,A. TÀI SẢN NGẮN HẠN,2.203.990.476.359,SAM,2024,current_assets,s10,
502693308797.0,SAM_financial_statements_2024_consolidated,5,17,3,IV. Hàng tồn kho,502.693.308.797,SAM,2024,inventory,s11,
1320348118855.0,SAM_financial_statements_2024_consolidated,7,3,3,I. Nợ ngắn hạn,1.320.348.118.855,SAM,2024,current_liabilities,s12,
9464267034186.0,VGC_financial_statements_2024_consolidated,6,1,4,TÀI SẢN NGẮN HẠN,9.464.267.034.186,VGC,2024,current_assets,s13,
4375950687848.0,VGC_financial_statements_2024_consolidated,6,13,4,Hàng tồn kho,4.375.950.687.848,VGC,2024,inventory,s14,
8746167408966.0,VGC_financial_statements_2024_consolidated,8,2,4,Nợ ngắn hạn,8.746.167.408.966,VGC,2024,current_liabilities,s15,
3612833298357.0,GEX_financial_statements_2024_consolidated,9,16,4,Tổng lợi nhuận kế toán trước thuế (50=30+40),3.612.833.298.357,GEX,2024,pbt,s16,
1009351523017.0,HBC_financial_statements_2024_consolidated,10,16,3,15. Tổng lợi nhuận kế toán trước thuế,1.009.351.523.017,HBC,2024,pbt,s17,
839010630813.0,PC1_financial_statements_2024_consolidated,9,14,3,Lợi nhuận kế toán trước thuế (50 = 30 + 40),839.010.630.813,PC1,2024,pbt,s18,
110603745182.0,SAM_financial_statements_2024_consolidated,8,17,3,15. Tổng lợi nhuận kế toán trước thuế,110.603.745.182,SAM,2024,pbt,s19,
1630325650110.0,VGC_financial_statements_2024_consolidated,10,16,4,Tổng lợi nhuận kế toán trước thuế (50=30+40),1.630.325.650.110,VGC,2024,pbt,s20,
1077046187606.0,GEX_financial_statements_2024_consolidated,9,8,4,- Trong đó: Chi phí lãi vay,1.077.046.187.606,GEX,2024,interest_expense,s21,
404156249744.0,HBC_financial_statements_2024_consolidated,10,8,3,Trong đó: Chi phí lãi vay,404.156.249.744,HBC,2024,interest_expense,s22,
701206757837.0,PC1_financial_statements_2024_consolidated,9,6,3,Trong đó: Chi phí đi vay,701.206.757.837,PC1,2024,interest_expense,s23,
62607188014.0,SAM_financial_statements_2024_consolidated,8,9,3,Trong đó: Chi phí lãi vay,62.607.188.014,SAM,2024,interest_expense,s24,
268896807699.0,VGC_financial_statements_2024_consolidated,10,8,4,- Trong đó: Chi phí lãi vay,268.896.807.699,VGC,2024,interest_expense,s25,
