value,doc_id,table_id,row_idx,col_idx,label,raw,source_type,source_id,computed_answer
1025746701725.0,DIG_financial_statements_2023_consolidated,7,3,3,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,1.025.746.701.725,PanelCell,s1,17.513763697068995
42315124804.0,DIG_financial_statements_2023_consolidated,7,10,3,9. Chi phí bán hàng,42.315.124.804,PanelCell,s2,
153551923652.0,DIG_financial_statements_2023_consolidated,7,11,3,10. Chi phí quản lý doanh nghiệp,153.551.923.652,PanelCell,s3,
138879179502.0,DIG_financial_statements_2023_consolidated,7,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,138.879.179.502,PanelCell,s4,
1300998943328.0,DIG_financial_statements_2024_consolidated,7,3,3,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,1.300.998.943.328,PanelCell,s5,
43616009912.0,DIG_financial_statements_2024_consolidated,7,10,3,9. Chi phí bán hàng,43.616.009.912,PanelCell,s6,
180302907673.0,DIG_financial_statements_2024_consolidated,7,11,3,10. Chi phí quản lý doanh nghiệp,180.302.907.673,PanelCell,s7,
162504720117.0,DIG_financial_statements_2024_consolidated,7,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,162.504.720.117,PanelCell,s8,
1020258859871.0,IJC_financial_statements_2024_consolidated,9,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,1.020.258.859.871,PanelCell,s9,
32713104498.0,IJC_financial_statements_2024_consolidated,9,10,3,9. Chi phí bán hàng,32.713.104.498,PanelCell,s10,
76257259022.0,IJC_financial_statements_2024_consolidated,9,11,3,10. Chi phí quản lý doanh nghiệp,76.257.259.022,PanelCell,s11,
420542343115.0,IJC_financial_statements_2024_consolidated,9,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,420.542.343.115,PanelCell,s12,
5618475347527.0,KBC_financial_statements_2023_consolidated,10,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,5.618.475.347.527,PanelCell,s13,
354412075024.0,KBC_financial_statements_2023_consolidated,10,10,3,9. Chi phí bán hàng,(354.412.075.024),PanelCell,s14,
458380732970.0,KBC_financial_statements_2023_consolidated,10,11,3,10. Chi phí quản lý doanh nghiệp,(458.380.732.970),PanelCell,s15,
2874382666152.0,KBC_financial_statements_2023_consolidated,10,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,2.874.382.666.152,PanelCell,s16,
2775773466955.0,KBC_financial_statements_2024_consolidated,5,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2.775.773.466.955,PanelCell,s17,
98035320545.0,KBC_financial_statements_2024_consolidated,5,10,3,9. Chi phí bán hàng,(98.035.320.545),PanelCell,s18,
459863902146.0,KBC_financial_statements_2024_consolidated,5,11,3,10. Chi phí quản lý doanh nghiệp,(459.863.902.146),PanelCell,s19,
933928813747.0,KBC_financial_statements_2024_consolidated,5,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,933.928.813.747,PanelCell,s20,
4756902213820.0,NVL_financial_statements_2023_consolidated,9,4,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ,4.756.902.213.820,PanelCell,s21,
291975056813.0,NVL_financial_statements_2023_consolidated,9,11,3,Chi phí bán hàng,(291.975.056.813),PanelCell,s22,
1490226089162.0,NVL_financial_statements_2023_consolidated,9,12,3,Chi phí quản lý doanh nghiệp,(1.490.226.089.162),PanelCell,s23,
1272588950900.0,NVL_financial_statements_2023_consolidated,9,13,3,Lợi nhuận thuần từ hoạt động kinh doanh,1.272.588.950.900,PanelCell,s24,
9073375473961.0,NVL_financial_statements_2024_consolidated,12,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),9.073.375.473.961,PanelCell,s25,
533971724119.0,NVL_financial_statements_2024_consolidated,12,10,3,9. Chi phí bán hàng,533.971.724.119,PanelCell,s26,
1449937734036.0,NVL_financial_statements_2024_consolidated,12,11,3,10. Chi phí quản lý doanh nghiệp,1.449.937.734.036,PanelCell,s27,
-676474941013.0,NVL_financial_statements_2024_consolidated,12,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 + 24 - 25 - 26),(676.474.941.013),PanelCell,s28,
371202027095.0,SCR_financial_statements_2023_consolidated,7,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,371.202.027.095,PanelCell,s29,
22205897090.0,SCR_financial_statements_2023_consolidated,7,10,3,9. Chỉ phí bán hàng,(22.205.897.090),PanelCell,s30,
108687019153.0,SCR_financial_statements_2023_consolidated,7,11,3,10. Chỉ phí quản lý doanh nghiệp,(108.687.019.153),PanelCell,s31,
13979887127.0,SCR_financial_statements_2023_consolidated,7,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,13.979.887.127,PanelCell,s32,
799116768725.0,SCR_financial_statements_2024_consolidated,8,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,799.116.768.725,PanelCell,s33,
18754748514.0,SCR_financial_statements_2024_consolidated,8,10,3,9. Chi phí bán hàng,18.754.748.514,PanelCell,s34,
57517780792.0,SCR_financial_statements_2024_consolidated,8,11,3,10. Chi phí quản lý doanh nghiệp,57.517.780.792,PanelCell,s35,
29975555914.0,SCR_financial_statements_2024_consolidated,8,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + (21 - 22) + 24 - (25 + 26)),29.975.555.914,PanelCell,s36,
161427568000000.0,VIC_financial_statements_2023_consolidated,10,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,161.427.568,PanelCell,s37,
12513907000000.0,VIC_financial_statements_2023_consolidated,10,10,3,9. Chi phí bán hàng,(12.513.907),PanelCell,s38,
13463255000000.0,VIC_financial_statements_2023_consolidated,10,11,3,10. Chi phí quản lý doanh nghiệp,(13.463.255),PanelCell,s39,
-4905383000000.0,VIC_financial_statements_2023_consolidated,10,12,3,11. (Lỗ)/lợi nhuận thuần từ hoạt động kinh doanh,(4.905.383),PanelCell,s40,
189068040000000.0,VIC_financial_statements_2024_consolidated,8,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,189.068.040,PanelCell,s41,
18053919000000.0,VIC_financial_statements_2024_consolidated,8,10,3,9. Chi phí bán hàng,(18.053.919),PanelCell,s42,
15148307000000.0,VIC_financial_statements_2024_consolidated,8,11,3,10. Chi phí quản lý doanh nghiệp,(15.148.307),PanelCell,s43,
11664762000000.0,VIC_financial_statements_2024_consolidated,8,12,3,11. Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,11.664.762,PanelCell,s44,
1864841561755.0,VPI_financial_statements_2023_consolidated,9,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,1.864.841.561.755,PanelCell,s45,
141050404283.0,VPI_financial_statements_2023_consolidated,9,10,3,9. Chi phí bán hàng,(141.050.404.283),PanelCell,s46,
219362774767.0,VPI_financial_statements_2023_consolidated,9,11,3,10. Chi phí quản lý doanh nghiệp,(219.362.774.767),PanelCell,s47,
615505943346.0,VPI_financial_statements_2023_consolidated,9,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,615.505.943.346,PanelCell,s48,
1897330935760.0,VPI_financial_statements_2024_consolidated,10,3,3,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,1.897.330.935.760,PanelCell,s49,
7468855667.0,VPI_financial_statements_2024_consolidated,10,10,3,9. Chi phí bán hàng,(7.468.855.667),PanelCell,s50,
137181726801.0,VPI_financial_statements_2024_consolidated,10,11,3,10. Chi phí quản lý doanh nghiệp,(137.181.726.801),PanelCell,s51,
346669777180.0,VPI_financial_statements_2024_consolidated,10,12,3,11. Lợi nhuận thuần từ hoạt động kinh doanh,346.669.777.180,PanelCell,s52,
9791335000000.0,VRE_financial_statements_2023_consolidated,7,3,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),9.791.335,PanelCell,s53,
341268000000.0,VRE_financial_statements_2023_consolidated,7,9,3,Chi phí bán hàng,341.268,PanelCell,s54,
438650000000.0,VRE_financial_statements_2023_consolidated,7,10,3,Chi phí quản lý doanh nghiệp,438.650,PanelCell,s55,
5381880000000.0,VRE_financial_statements_2023_consolidated,7,11,3,Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},5.381.880,PanelCell,s56,
8939117000000.0,VRE_financial_statements_2024_consolidated,6,2,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),8.939.117,PanelCell,s57,
341019000000.0,VRE_financial_statements_2024_consolidated,6,8,4,Chi phí bán hàng,341.019,PanelCell,s58,
641775000000.0,VRE_financial_statements_2024_consolidated,6,9,4,Chi phí quản lý doanh nghiệp,641.775,PanelCell,s59,
4720279000000.0,VRE_financial_statements_2024_consolidated,6,10,4,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),4.720.279,PanelCell,s60,
