value,doc_id,table_id,row_idx,col_idx,label,raw,ticker,year,raw_column,source_id,computed_answer
6036457811415.0,KBC_financial_statements_2016_consolidated,6,1,3,C. NỘ PHẢI TRẢ,6.036.457.811.415,KBC,2016,liabilities,s1,3.319357071984094
8621089984484.0,KBC_financial_statements_2016_consolidated,7,1,3,D. VỐN CHỦ SỞ HỮU,8.621.089.984.484,KBC,2016,equity,s2,
6741660188971.0,KBC_financial_statements_2017_consolidated,5,1,3,C. NỘ PHẢI TRẢ,6.741.660.188.971,KBC,2017,liabilities,s3,
9038107349299.0,KBC_financial_statements_2017_consolidated,6,1,3,D. VỐN CHỦ SỞ HỮU,9.038.107.349.299,KBC,2017,equity,s4,
7072374423221.0,KBC_financial_statements_2018_consolidated,6,1,3,C. NỘ PHẢI TRẢ,7.072.374.423.221,KBC,2018,liabilities,s5,
9837357794557.0,KBC_financial_statements_2018_consolidated,7,1,3,D. VỐN CHỦ SỞ HỮU,9.837.357.794.557,KBC,2018,equity,s6,
6051858701629.0,KBC_financial_statements_2019_consolidated,6,1,3,C. NỘ PHẢI TRẢ,6.051.858.701.629,KBC,2019,liabilities,s7,
10381131101072.0,KBC_financial_statements_2019_consolidated,7,1,3,D. VỐN CHỦ SỞ HỮU,10.381.131.101.072,KBC,2019,equity,s8,
13132883122220.0,KBC_financial_statements_2020_consolidated,7,1,3,C. NỘ PHẢI TRẢ,13.132.883.122.220,KBC,2020,liabilities,s9,
10652995127729.0,KBC_financial_statements_2020_consolidated,8,1,3,D. VỐN CHỦ SỞ HỮU,10.652.995.127.729,KBC,2020,equity,s10,
81656871847.0,KBC_financial_statements_2016_consolidated,8,8,3,Trong đó: Chi phí lãi vay,(81.656.871.847),KBC,2016,interest_expense,s11,
921361545847.0,KBC_financial_statements_2016_consolidated,8,16,3,15. Tổng lợi nhuận kế toán trước thuế,921.361.545.847,KBC,2016,pbt,s12,
106963449754.0,KBC_financial_statements_2017_consolidated,7,8,3,Trong đó: Chỉ phí lãi vay,(106.963.449.754),KBC,2017,interest_expense,s13,
811539933682.0,KBC_financial_statements_2017_consolidated,7,16,3,15. Tổng lợi nhuận kế toán trước thuế,811.539.933.682,KBC,2017,pbt,s14,
200751707293.0,KBC_financial_statements_2018_consolidated,8,8,3,Trong đó: Chi phí lãi vay,(200.751.707.293),KBC,2018,interest_expense,s15,
1047227401932.0,KBC_financial_statements_2018_consolidated,8,16,3,15. Tổng lợi nhuận kế toán trước thuế,1.047.227.401.932,KBC,2018,pbt,s16,
195685878594.0,KBC_financial_statements_2019_consolidated,8,8,3,Trong đó: Chi phí lãi vay,(195.685.878.594),KBC,2019,interest_expense,s17,
1364174909478.0,KBC_financial_statements_2019_consolidated,8,16,3,15. Tổng lợi nhuận kế toán trước thuế,1.364.174.909.478,KBC,2019,pbt,s18,
195387067311.0,KBC_financial_statements_2020_consolidated,9,8,3,Trong đó: Chi phí lãi vay,(195.387.067.311),KBC,2020,interest_expense,s19,
453172376342.0,KBC_financial_statements_2020_consolidated,9,16,3,15. Tổng lợi nhuận kế toán trước thuế,453.172.376.342,KBC,2020,pbt,s20,
