value,doc_id,table_id,row_idx,col_idx,label,raw,ticker,year,raw_column,source_id,computed_answer
6826580000000.0,VRE_financial_statements_2021_consolidated,4,2,3,Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),6.826.580,VRE,2021,current_assets,s1,0.12804294733428592
582918000000.0,VRE_financial_statements_2021_consolidated,4,14,3,Hàng tồn kho,582.918,VRE,2021,inventory,s2,
2890056000000.0,VRE_financial_statements_2021_consolidated,6,3,3,Nợ ngắn hạn,2.890.056,VRE,2021,current_liabilities,s3,
10534650000000.0,VRE_financial_statements_2022_consolidated,4,2,3,Tài sản ngắn hạn(100 = 110 + 120 + 130 + 140 + 150),10.534.650,VRE,2022,current_assets,s4,
1178127000000.0,VRE_financial_statements_2022_consolidated,4,14,3,Hàng tồn kho,1.178.127,VRE,2022,inventory,s5,
5819458000000.0,VRE_financial_statements_2022_consolidated,6,3,3,Nợ ngắn hạn,5.819.458,VRE,2022,current_liabilities,s6,
10036448000000.0,VRE_financial_statements_2023_consolidated,3,2,3,Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),10.036.448,VRE,2023,current_assets,s7,
639957000000.0,VRE_financial_statements_2023_consolidated,3,13,3,Hàng tồn kho,639.957,VRE,2023,inventory,s8,
6244864000000.0,VRE_financial_statements_2023_consolidated,5,3,3,Nợ ngắn hạn,6.244.864,VRE,2023,current_liabilities,s9,
12312424000000.0,VRE_financial_statements_2024_consolidated,2,1,4,TÀI SẢN NGẮN HẠN,12.312.424,VRE,2024,current_assets,s10,
295010000000.0,VRE_financial_statements_2024_consolidated,2,12,4,Hàng tồn kho,295.010,VRE,2024,inventory,s11,
5920740000000.0,VRE_financial_statements_2024_consolidated,4,2,4,Nợ ngắn hạn,5.920.740,VRE,2024,current_liabilities,s12,
7961052000000.0,VRE_financial_statements_2025_consolidated,3,1,4,TÀI SẢN NGĂN HẠN,7.961.052,VRE,2025,current_assets,s13,
236158000000.0,VRE_financial_statements_2025_consolidated,3,12,4,Hàng tồn kho,236.158,VRE,2025,inventory,s14,
5173857000000.0,VRE_financial_statements_2025_consolidated,5,2,4,Nợ ngắn hạn,5.173.857,VRE,2025,current_liabilities,s15,
1705319000000.0,VRE_financial_statements_2021_consolidated,10,15,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1.705.319,VRE,2021,cfo,s16,
5071683000000.0,VRE_financial_statements_2022_consolidated,10,15,3,Lưu chuyển tiền thuần từ hoạt độngkinh doanh,5.071.683,VRE,2022,cfo,s17,
3892009000000.0,VRE_financial_statements_2023_consolidated,9,15,3,Lưu chuyển tiền thuần từ hoạt độngkinh doanh,3.892.009,VRE,2023,cfo,s18,
758109000000.0,VRE_financial_statements_2024_consolidated,7,16,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,758.109,VRE,2024,cfo,s19,
-3262205000000.0,VRE_financial_statements_2025_consolidated,8,15,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(3.262.205),VRE,2025,cfo,s20,
